sample_id	t_ref_count	t_alt_count	cnTotal	cnMajor	cnMinor	purity	context_index
Confirm067_T	160	70	2	1	1	0.64	8
Confirm067_T	142	68	2	1	1	0.64	39
Confirm067_T	298	133	2	1	1	0.64	46
Confirm067_T	88	36	2	1	1	0.64	1
Confirm067_T	40	24	2	1	1	0.64	12
Confirm067_T	115	132	1	1	0	0.64	87
Confirm067_T	144	61	2	1	1	0.64	72
Confirm067_T	223	115	2	1	1	0.64	34
Confirm067_T	20	9	2	1	1	0.64	34
Confirm067_T	71	33	2	1	1	0.64	28
Confirm067_T	65	72	1	1	0	0.64	28
Confirm067_T	61	35	2	1	1	0.64	37
Confirm067_T	86	39	2	1	1	0.64	43
Confirm067_T	89	50	2	1	1	0.64	37
Confirm067_T	54	43	2	1	1	0.64	32
Confirm067_T	27	10	2	1	1	0.64	1
Confirm067_T	198	100	2	1	1	0.64	38
Confirm067_T	256	172	2	1	1	0.64	43
Confirm067_T	81	39	2	1	1	0.64	16
Confirm067_T	167	30	2	1	1	0.64	46
Confirm067_T	123	11	2	1	1	0.64	44
MED155.R1	145	32	2	1	1	0.4	46
MED155.R1	584	110	3	2	1	0.4	47
MED155.R1	240	66	1	1	0	0.4	46
MED155.R1	89	16	2	1	1	0.4	37
MED155.R1	40	6	2	1	1	0.4	47
MED155.R1	44	8	2	1	1	0.4	39
MED155.R1	228	66	2	1	1	0.4	64
MED155.R1	97	13	5	4	1	0.4	75
MED155.R1	112	4	2	1	1	0.4	44
MED155.R1	249	18	2	1	1	0.4	45
MED155.R1	75	4	2	1	1	0.4	46
MED155.R1	34	4	2	1	1	0.4	22
MED155.R1	190	25	2	1	1	0.4	41
MED155.R1	302	9	2	1	1	0.4	31
MED155.R1	287	10	2	1	1	0.4	44
MED155.R1	150	20	2	1	1	0.4	46
MED155.R1	56	4	2	1	1	0.4	45
MED155.R1	125	6	2	1	1	0.4	47
MED155.R1	191	7	2	1	1	0.4	44
MED155.R1	40	6	1	1	0	0.4	31
MIST3_014_T	113	32	2	1	1	0.53	34
MIST3_014_T	58	4	2	1	1	0.53	47
MIST3_014_T	68	4	2	1	1	0.53	34
MIST3_014_T	46	4	2	1	1	0.53	44
MIST3_014_T	88	5	2	1	1	0.53	39
MIST3_014_T	89	5	2	1	1	0.53	34
MIST3_014_T	68	4	2	1	1	0.53	40
MIST3_014_T	57	4	2	1	1	0.53	79
MIST3_014_T	43	5	2	1	1	0.53	38
MIST3_014_T	64	9	2	1	1	0.53	25
MIST3_014_T	64	4	2	1	1	0.53	34
MIST3_014_T	70	4	2	1	1	0.53	36
MIST3_014_T	68	4	2	1	1	0.53	38
MIST3_014_T	38	11	2	1	1	0.53	37
